id_region,nombre_region,id_comuna,nombre_comuna,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15
4,Coquimbo,4201,Illapel,39.63293802018231,36.584250480168286,30.486875400140242,21.34081278009817,0.0,0.0,0.0,3.048687540014024,3.048687540014024,3.048687540014024,0.0
4,Coquimbo,4202,Canela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.475591870940708,10.475591870940708,0.0
4,Coquimbo,4203,Los Vilos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Coquimbo,4204,Salamanca,10.305736860185505,10.305736860185505,10.305736860185505,10.305736860185505,3.4352456200618344,3.4352456200618344,0.0,3.4352456200618344,6.870491240123669,10.305736860185505,6.870491240123669
4,Coquimbo,4301,Ovalle,0.0,0.8246130503261345,0.0,0.0,0.0,0.0,0.8246130503261345,1.649226100652269,4.123065251630672,10.719969654239748,16.49226100652269
4,Coquimbo,4302,Combarbalá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.405070584845864,7.202535292422932
4,Coquimbo,4303,Monte Patria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.223106957297015
4,Coquimbo,4304,Punitaqui,0.0,0.0,0.0,0.0,8.220304151253597,8.220304151253597,8.220304151253597,16.440608302507194,32.88121660501439,49.321824907521574,41.10152075626798
4,Coquimbo,4305,Río Hurtado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Valparaiso,5101,Valparaíso,4.750864657367641,3.800691725894113,4.750864657367641,5.701037588841169,5.067588967858817,3.4839674154029363,10.768626556699987,12.668972419647043,26.288117770767613,24.704496218311732,29.455360875679375
5,Valparaiso,5102,Casablanca,6.856359273225918,3.428179636612959,3.428179636612959,3.428179636612959,0.0,0.0,0.0,0.0,3.428179636612959,3.428179636612959,34.28179636612958
5,Valparaiso,5103,Concón,2.1791714790036827,4.358342958007365,2.1791714790036827,2.1791714790036827,6.5375144370110485,8.71668591601473,17.43337183202946,13.075028874022097,13.075028874022097,10.895857395018414,13.075028874022097
5,Valparaiso,5104,Juan Fernández,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Valparaiso,5105,Puchuncaví,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Valparaiso,5107,Quintero,0.0,0.0,0.0,0.0,8.302200083022,16.604400166044,11.069600110696001,2.7674000276740003,11.069600110696001,11.069600110696001,27.67400027674
5,Valparaiso,5109,Viña del Mar,4.1508588126883454,3.320687050150676,3.8741348918424556,4.981030575226015,4.704306654380125,4.704306654380125,6.364650179455463,8.0249937045308,14.112919963140373,19.093950538366386,28.502563847126638
5,Valparaiso,5201,Isla de Pascua,36.24501631025734,12.081672103419114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Valparaiso,5301,Los Andes,4.405739209610386,5.874318946147181,5.874318946147181,5.874318946147181,1.4685797365367952,0.0,2.9371594730735904,2.9371594730735904,11.748637892294362,23.497275784588723,24.965855521125523
