fecha,id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
2020-03-15,5,Valparaíso,0,0,,,0,0,0.0,0
2020-03-15,4,Coquimbo,0,0,,,0,0,0.0,0
2020-03-15,3,Atacama,1,0,,,0,0,0.0,0
2020-03-15,2,Antofagasta,2,0,,,0,0,0.0,0
2020-03-15,16,Ñuble,4,0,,,0,0,0.0,0
2020-03-16,11,Aysén,1,0,,,0,0,0.0,0
2020-03-16,10,Los Lagos,1,0,,,0,0,0.0,0
2020-03-16,14,Los Ríos,1,1,,,0,0,0.0,0
2020-03-16,9,Araucanía,1,1,,,0,0,0.0,0
2020-03-16,8,Biobío,4,1,,,0,0,0.0,0
2020-03-16,16,Ñuble,12,8,,,0,0,0.0,0
2020-03-16,5,Valparaíso,1,1,,,0,0,0.0,0
2020-03-16,6,O’Higgins,0,0,,,0,0,0.0,0
2020-03-16,4,Coquimbo,0,0,,,0,0,0.0,0
2020-03-16,3,Atacama,1,0,,,0,0,0.0,0
2020-03-16,2,Antofagasta,2,0,,,0,0,0.0,0
2020-03-16,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-16,15,Arica y Parinacota,0,0,,,0,0,0.0,0
2020-03-16,7,Maule,9,0,,,0,0,0.0,0
2020-03-16,12,Magallanes,0,0,,,0,0,0.0,0
2020-03-16,13,Metropolitana,123,69,,,0,0,0.0,0
2020-03-17,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-17,2,Antofagasta,2,0,,,0,0,0.0,0
2020-03-17,12,Magallanes,2,2,,,0,0,0.0,0
2020-03-17,11,Aysén,1,0,,,0,0,0.0,0
2020-03-17,10,Los Lagos,1,0,,,0,0,0.0,0
2020-03-17,14,Los Ríos,1,0,,,0,0,0.0,0
2020-03-17,9,Araucanía,1,0,,,0,0,0.0,0
2020-03-17,8,Biobío,4,0,,,0,0,0.0,0
2020-03-17,15,Arica y Parinacota,0,0,,,0,0,0.0,0
2020-03-17,7,Maule,9,0,,,0,0,0.0,0
2020-03-17,6,O’Higgins,0,0,,,0,0,0.0,0
2020-03-17,13,Metropolitana,152,29,,,0,0,0.0,0
2020-03-17,5,Valparaíso,1,0,,,0,0,0.0,0
2020-03-17,4,Coquimbo,0,0,,,0,0,0.0,0
2020-03-17,3,Atacama,1,0,,,0,0,0.0,0
2020-03-17,16,Ñuble,26,14,,,0,0,0.0,0
2020-03-18,12,Magallanes,2,0,,,0,0,0.0,0
2020-03-18,11,Aysén,1,0,,,0,0,0.0,0
2020-03-18,10,Los Lagos,8,7,,,0,0,0.0,0
2020-03-18,14,Los Ríos,1,0,,,0,0,0.0,0
2020-03-18,9,Araucanía,4,3,,,0,0,0.0,0
2020-03-18,8,Biobío,7,3,,,0,0,0.0,0
2020-03-18,6,O’Higgins,0,0,,,0,0,0.0,0
2020-03-18,7,Maule,11,2,,,0,0,0.0,0
2020-03-18,13,Metropolitana,174,22,,,0,0,0.0,0
2020-03-18,5,Valparaíso,1,0,,,0,0,0.0,0
2020-03-18,4,Coquimbo,0,0,,,0,0,0.0,0
2020-03-18,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-18,2,Antofagasta,2,0,,,0,0,0.0,0
2020-03-18,16,Ñuble,26,0,,,0,0,0.0,0
2020-03-18,3,Atacama,1,0,,,0,0,0.0,0
2020-03-18,15,Arica y Parinacota,0,0,,,0,0,0.0,0
2020-03-19,2,Antofagasta,2,0,,,0,0,0.0,0
2020-03-19,15,Arica y Parinacota,1,1,,,0,0,0.0,0
2020-03-19,12,Magallanes,2,0,,,0,0,0.0,0
2020-03-19,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-19,3,Atacama,1,0,,,0,0,0.0,0
2020-03-19,4,Coquimbo,2,2,,,0,0,0.0,0
2020-03-19,5,Valparaíso,4,3,,,0,0,0.0,0
2020-03-19,13,Metropolitana,247,73,,,0,0,0.0,0
2020-03-19,11,Aysén,1,0,,,0,0,0.0,0
2020-03-19,7,Maule,14,3,,,0,0,0.0,0
2020-03-19,16,Ñuble,28,2,,,0,0,0.0,0
2020-03-19,8,Biobío,14,7,,,0,0,0.0,0
2020-03-19,9,Araucanía,7,3,,,0,0,0.0,0
2020-03-19,14,Los Ríos,1,0,,,0,0,0.0,0
2020-03-19,10,Los Lagos,16,8,,,0,0,0.0,0
2020-03-19,6,O’Higgins,2,2,,,0,0,0.0,0
2020-03-20,8,Biobío,19,5,,,0,0,0.0,0
2020-03-20,2,Antofagasta,6,4,,,0,0,0.0,0
2020-03-20,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-20,15,Arica y Parinacota,1,0,,,0,0,0.0,0
2020-03-20,13,Metropolitana,304,57,,,0,0,0.0,0
2020-03-20,6,O’Higgins,6,4,,,0,0,0.0,0
2020-03-20,7,Maule,14,0,,,0,0,0.0,0
2020-03-20,16,Ñuble,44,16,,,0,0,0.0,0
2020-03-20,3,Atacama,1,0,,,0,0,0.0,0
2020-03-20,4,Coquimbo,3,1,,,0,0,0.0,0
2020-03-20,14,Los Ríos,1,0,,,0,0,0.0,0
2020-03-20,10,Los Lagos,18,2,,,0,0,0.0,0
2020-03-20,11,Aysén,1,0,,,0,0,0.0,0
2020-03-20,12,Magallanes,2,0,,,0,0,0.0,0
2020-03-20,5,Valparaíso,5,1,,,0,0,0.0,0
2020-03-20,9,Araucanía,9,2,,,0,0,0.0,0
2020-03-21,16,Ñuble,58,14,,,0,0,0.0,0
2020-03-21,11,Aysén,1,0,,,0,0,0.0,0
2020-03-21,10,Los Lagos,20,2,,,0,0,0.0,0
2020-03-21,12,Magallanes,3,1,,,0,0,0.0,0
2020-03-21,8,Biobío,30,11,,,0,0,0.0,0
2020-03-21,4,Coquimbo,3,0,,,0,0,0.0,0
2020-03-21,5,Valparaíso,13,8,,,0,0,0.0,0
2020-03-21,13,Metropolitana,359,55,,,0,0,0.0,0
2020-03-21,6,O’Higgins,7,1,,,0,0,0.0,0
2020-03-21,3,Atacama,1,0,,,0,0,0.0,0
2020-03-21,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-21,2,Antofagasta,10,4,,,0,0,0.0,0
2020-03-21,9,Araucanía,15,6,,,0,0,0.0,0
