id_region,nombre_region,id_comuna,nombre_comuna,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08
5,Valparaiso,5703,Llaillay,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,3.0,19.0,4.0,16.0,1.0,13.0,18.0
5,Valparaiso,5704,Panquehue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,6.0,3.0
5,Valparaiso,5705,Putaendo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,3.0,6.0,1.0,2.0,2.0,8.0,15.0
5,Valparaiso,5706,Santa María,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,3.0,13.0
5,Valparaiso,5801,Quilpué,-1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,3.0,0.0,8.0,2.0,10.0,5.0,33.0,16.0,20.0,31.0,33.0,38.0,59.0,36.0
5,Valparaiso,5802,Limache,1.0,0.0,1.0,1.0,2.0,1.0,5.0,7.0,0.0,3.0,0.0,0.0,-1.0,3.0,3.0,19.0,7.0,14.0,11.0,6.0,9.0,31.0,21.0
5,Valparaiso,5803,Olmué,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,7.0,2.0,7.0,1.0
5,Valparaiso,5804,Villa Alemana,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,17.0,9.0,19.0,13.0,32.0,13.0,25.0,25.0,61.0,55.0
6,OHiggins,6101,Rancagua,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,6.0,7.0,16.0,21.0,46.0,42.0,25.0,48.0,83.0,28.0,88.0,105.0
6,OHiggins,6102,Codegua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0
6,OHiggins,6103,Coinco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,5.0,0.0,3.0,2.0
6,OHiggins,6104,Coltauco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,7.0,0.0,1.0,5.0,3.0,3.0,2.0
6,OHiggins,6105,Doñihue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,4.0,4.0,6.0,3.0,8.0,1.0,3.0,10.0
6,OHiggins,6106,Graneros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,7.0,6.0,4.0,5.0,4.0,9.0,0.0,2.0,14.0
6,OHiggins,6107,Las Cabras,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,5.0,3.0
