id_region,nombre_region,id_comuna,nombre_comuna,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12
9,Araucania,9108,Lautaro,4.908457271879448,19.633829087517793,24.54228635939724,39.267658175035585,46.63034408285476,46.63034408285476,53.99302999067393,61.3557158984931,66.26417317037256,73.62685907819171,83.44377362195063,93.26068816570952,93.26068816570952,98.16914543758897,110.44028861728759,130.07411770480536,134.98257497668482,134.98257497668482,137.43680361262457,149.70794679232318,161.9790899720218,191.42983360329848,218.42634859863546,230.6974917783341,242.96863495803268
9,Araucania,9109,Loncoche,8.084401147984963,8.084401147984963,16.168802295969925,16.168802295969925,24.253203443954888,24.253203443954888,24.253203443954888,36.37980516593233,36.37980516593233,36.37980516593233,36.37980516593233,40.42200573992482,72.75961033186466,72.75961033186466,80.84401147984964,80.84401147984964,80.84401147984964,80.84401147984964,84.8862120538421,84.8862120538421,141.47702008973684,165.73022353369174,185.94122640365416,185.94122640365416,198.0678281256316
9,Araucania,9110,Melipeuco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.88507581803671,79.80845969672785,79.80845969672785,127.69353551476455,127.69353551476455,127.69353551476455
9,Araucania,9111,Nueva Imperial,0.0,5.921188974746129,32.56653936110371,47.36951179796903,59.21188974746129,65.13307872220742,74.01486218432662,94.73902359593806,100.6602125706842,109.5419960328034,106.58140154543032,130.26615744441483,139.14794090653405,139.14794090653405,121.38437398229564,130.26615744441483,153.95091334339935,153.95091334339935,153.95091334339935,156.91150783077242,159.8721023181455,162.83269680551857,165.7932912928916,189.47804719187613,236.84755898984517
9,Araucania,9112,Padre Las Casas,10.960906101571064,17.050298380221655,40.189989039093895,53.586652052125196,59.67604433077579,59.67604433077579,59.67604433077579,63.32967969796614,70.63695043234685,86.4693703568384,94.99451954694922,105.95542564852028,119.35208866155158,120.56996711728169,121.78784557301181,123.00572402874194,140.0560224089636,144.92753623188406,154.67056387772502,164.41359152356594,174.1566191694069,187.55328218243818,198.51418828400924,200.94994519546952,202.1678236511996
9,Araucania,9113,Perquenco,13.844662882458813,13.844662882458813,27.689325764917626,13.844662882458813,27.689325764917626,27.689325764917626,41.53398864737644,41.53398864737644,55.37865152983525,83.06797729475288,83.06797729475288,83.06797729475288,69.22331441229406,69.22331441229406,69.22331441229406,69.22331441229406,69.22331441229406,69.22331441229406,69.22331441229406,69.22331441229406,69.22331441229406,69.22331441229406,152.29129170704695,152.29129170704695,207.66994323688218
9,Araucania,9114,Pitrufquén,15.328019619865113,22.992029429797668,26.824034334763947,42.15205395462906,45.984058859595336,45.984058859595336,61.31207847946045,68.97608828939302,65.14408338442672,72.80809319435929,72.80809319435929,72.80809319435929,76.64009809932557,76.64009809932557,68.97608828939302,68.97608828939302,68.97608828939302,76.64009809932557,95.80012262415697,126.45616186388719,157.1122011036174,180.1042305334151,222.25628448804417,241.41630901287556,260.5763335377069
9,Araucania,9115,Pucón,10.073198576321268,10.073198576321268,10.073198576321268,13.430931435095024,16.788664293868777,16.788664293868777,16.788664293868777,20.146397152642535,33.577328587737554,36.93506144651131,40.29279430528507,47.00826002283259,47.00826002283259,47.00826002283259,53.7237257403801,53.7237257403801,57.08145859915385,60.439191457927606,63.79692431670136,80.58558861057014,90.65878718689142,120.87838291585521,167.8866429386878,174.60210865623532,184.67530723255658
9,Araucania,9116,Saavedra,0.0,0.0,7.81677479871805,7.81677479871805,7.81677479871805,7.81677479871805,7.81677479871805,0.0,7.81677479871805,62.5341983897444,117.25162198077074,125.0683967794888,187.60259516923318,257.95356835769564,328.3045415461581,406.47228953333854,523.7239115141093,578.4413351051356,625.3419838974439,640.97553349488,656.6090830923162,680.0594074884702,680.0594074884702,711.3265066833425,719.1432814820605
9,Araucania,9117,Teodoro Schmidt,0.0,25.33890789306981,12.669453946534905,19.004180919802355,19.004180919802355,25.33890789306981,31.67363486633726,31.67363486633726,31.67363486633726,31.67363486633726,38.00836183960471,38.00836183960471,38.00836183960471,38.00836183960471,31.67363486633726,31.67363486633726,31.67363486633726,31.67363486633726,44.34308881287216,38.00836183960471,50.67781578613962,63.34726973267452,63.34726973267452,63.34726973267452,63.34726973267452
