fecha,id_region,nombre_region,id_comuna,nombre_comuna,casos_totales,poblacion,tasa
30-03-2020,9,Araucania,9112,Padre Las Casas,9,82110,10.960906101571064
30-03-2020,9,Araucania,9113,Perquenco,1,7223,13.844662882458813
30-03-2020,9,Araucania,9114,Pitrufquén,4,26096,15.328019619865113
30-03-2020,9,Araucania,9115,Pucón,3,29782,10.073198576321268
30-03-2020,9,Araucania,9208,Purén,0,12188,0.0
30-03-2020,9,Araucania,9209,Renaico,0,10833,0.0
30-03-2020,9,Araucania,9116,Saavedra,0,12793,0.0
30-03-2020,9,Araucania,9101,Temuco,154,302931,50.83665917321106
30-03-2020,9,Araucania,9117,Teodoro Schmidt,0,15786,0.0
30-03-2020,9,Araucania,9118,Toltén,1,10055,9.945300845350571
30-03-2020,9,Araucania,9210,Traiguén,0,19314,0.0
30-03-2020,9,Araucania,9211,Victoria,5,35467,14.097611864550146
30-03-2020,9,Araucania,9119,Vilcún,4,30766,13.001365143340049
30-03-2020,9,Araucania,9120,Villarrica,1,59103,1.6919614909564658
30-03-2020,14,Los Rios,14102,Corral,0,5447,0.0
30-03-2020,14,Los Rios,14202,Futrono,0,15261,0.0
30-03-2020,14,Los Rios,14201,La Unión,1,39538,2.5292124032576258
30-03-2020,14,Los Rios,14203,Lago Ranco,0,10292,0.0
30-03-2020,14,Los Rios,14103,Lanco,0,17652,0.0
30-03-2020,14,Los Rios,14104,Los Lagos,0,20518,0.0
30-03-2020,14,Los Rios,14105,Máfil,1,7389,13.533631073216943
30-03-2020,14,Los Rios,14106,Mariquina,0,23250,0.0
30-03-2020,14,Los Rios,14107,Paillaco,0,20798,0.0
30-03-2020,14,Los Rios,14108,Panguipulli,0,35991,0.0
30-03-2020,14,Los Rios,14204,Río Bueno,2,32925,6.074411541381929
30-03-2020,14,Los Rios,14101,Valdivia,12,176774,6.788328600359781
30-03-2020,10,Los Lagos,10202,Ancud,0,42458,0.0
30-03-2020,10,Los Lagos,10102,Calbuco,4,36744,10.88613106901807
30-03-2020,10,Los Lagos,10201,Castro,1,47607,2.1005314344529165
30-03-2020,10,Los Lagos,10401,Chaitén,0,5020,0.0
30-03-2020,10,Los Lagos,10203,Chonchi,0,16013,0.0
30-03-2020,10,Los Lagos,10103,Cochamó,0,4006,0.0
30-03-2020,10,Los Lagos,10204,Curaco de Vélez,0,4066,0.0
30-03-2020,10,Los Lagos,10205,Dalcahue,0,15069,0.0
30-03-2020,10,Los Lagos,10104,Fresia,0,12656,0.0
30-03-2020,10,Los Lagos,10105,Frutillar,0,20223,0.0
30-03-2020,10,Los Lagos,10402,Futaleufú,0,2806,0.0
30-03-2020,10,Los Lagos,10403,Hualaihué,1,9525,10.498687664041995
30-03-2020,10,Los Lagos,10107,Llanquihue,0,18621,0.0
30-03-2020,10,Los Lagos,10106,Los Muermos,1,17817,5.612617163383286
30-03-2020,10,Los Lagos,10108,Maullín,0,14894,0.0
30-03-2020,10,Los Lagos,10301,Osorno,66,173410,38.06008880687388
30-03-2020,10,Los Lagos,10404,Palena,0,1827,0.0
30-03-2020,10,Los Lagos,10101,Puerto Montt,34,269398,12.620732150943958
30-03-2020,10,Los Lagos,10302,Puerto Octay,1,9192,10.879025239338555
30-03-2020,10,Los Lagos,10109,Puerto Varas,1,48620,2.0567667626491155
30-03-2020,10,Los Lagos,10206,Puqueldón,0,4201,0.0
30-03-2020,10,Los Lagos,10303,Purranque,0,21080,0.0
30-03-2020,10,Los Lagos,10304,Puyehue,1,11787,8.483922965979469
30-03-2020,10,Los Lagos,10207,Queilén,0,5543,0.0
30-03-2020,10,Los Lagos,10208,Quellón,0,29309,0.0
30-03-2020,10,Los Lagos,10209,Quemchi,0,8783,0.0
30-03-2020,10,Los Lagos,10210,Quinchao,1,8298,12.05109664979513
30-03-2020,10,Los Lagos,10305,Río Negro,0,14275,0.0
30-03-2020,10,Los Lagos,10306,San Juan de la Costa,0,7639,0.0
30-03-2020,10,Los Lagos,10307,San Pablo,1,10553,9.47597839476926
30-03-2020,11,Aisen,11201,Aisén,1,25002,3.999680025597952
30-03-2020,11,Aisen,11401,Chile Chico,0,5121,0.0
