id_region,nombre_region,id_comuna,nombre_comuna,poblacion,casos_totales,tasa
8,Biobio,,Quilleco,10032,-,0
8,Biobio,,San Pedro de la Paz,145906,50,34.3
8,Biobio,,San Rosendo,3611,-,0
8,Biobio,,Santa Bárbara,14592,-,13.7
8,Biobio,,Santa Juana,14779,-,0
8,Biobio,,Talcahuano,158345,23,14.5
8,Biobio,,Tirúa,11019,-,0
8,Biobio,,Tomé,58729,6,10.2
8,Biobio,,Tucapel,15205,-,0
8,Biobio,,Yumbel,22132,5,22.6
8,Biobio,,Por determinar,,5,
9,Araucania,,Angol,56058,13,23.2
9,Araucania,,Carahue,25486,-,7.8
9,Araucania,,Cholchol,12341,-,16.2
9,Araucania,,Collipulli,26148,-,0
9,Araucania,,Cunco,18055,-,0
9,Araucania,,Curacautín,18178,-,0
9,Araucania,,Curarrehue,7802,-,25.6
9,Araucania,,Ercilla,8458,-,0
9,Araucania,,Freire,25446,-,7.9
9,Araucania,,Galvarino,12633,-,7.9
9,Araucania,,Gorbea,15148,6,39.6
9,Araucania,,Lautaro,40746,8,19.6
9,Araucania,,Loncoche,24739,-,8.1
9,Araucania,,Lonquimay,11049,-,0
9,Araucania,,Los Sauces,7517,-,0
9,Araucania,,Lumaco,10050,-,0
9,Araucania,,Melipeuco,6265,-,0
9,Araucania,,Nueva Imperial,33777,-,5.9
9,Araucania,,Padre Las Casas,82110,14,17.1
9,Araucania,,Perquenco,7223,-,13.8
9,Araucania,,Pitrufquén,26096,6,23
9,Araucania,,Pucón,29782,-,10.1
9,Araucania,,Purén,12188,-,8.2
9,Araucania,,Renaico,10833,-,0
9,Araucania,,Saavedra,12793,-,0
9,Araucania,,Temuco,302931,225,74.3
9,Araucania,,Teodoro Schmidt,15786,4,25.3
9,Araucania,,Toltén,10055,-,29.8
9,Araucania,,Traiguén,19314,-,0
9,Araucania,,Victoria,35467,7,19.7
9,Araucania,,Vilcún,30766,5,16.3
9,Araucania,,Villarrica,59103,4,6.8
9,Araucania,,Por determinar,,30,
10,Los Lagos,,Ancud,42458,-,0
10,Los Lagos,,Calbuco,36744,5,13.6
10,Los Lagos,,Castro,47607,-,2.1
10,Los Lagos,,Chaitén,5020,-,19.9
10,Los Lagos,,Chonchi,16013,-,0
10,Los Lagos,,Cochamó,4006,-,0
10,Los Lagos,,Curaco de Vélez,4066,-,0
10,Los Lagos,,Dalcahue,15069,-,0
10,Los Lagos,,Fresia,12656,-,0
10,Los Lagos,,Frutillar,20223,-,0
10,Los Lagos,,Futaleufú,2806,-,0
