ORDEN,REGION,nombre_region,id_region,PROVINCIA,nombre_provincia,id_provincia,COMUNA,id_comuna,edad_rango,hombres,mujeres,total_poblacion,nombre_comuna
89,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,0 a 4,16,25,41,General Lagos
90,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,5 a 9,18,16,34,General Lagos
91,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,10 a 14,15,13,28,General Lagos
92,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,15 a 19,27,14,41,General Lagos
93,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,20 a 24,48,10,58,General Lagos
94,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,25 a 29,48,12,60,General Lagos
95,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,30 a 34,36,14,50,General Lagos
96,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,35 a 39,33,22,55,General Lagos
97,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,40 a 44,24,25,49,General Lagos
98,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,45 a 49,27,12,39,General Lagos
99,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,50 a 54,17,24,41,General Lagos
100,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,55 a 59,24,21,45,General Lagos
101,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,60 a 64,25,19,44,General Lagos
102,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,65 a 69,19,15,34,General Lagos
103,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,70 a 74,16,17,33,General Lagos
104,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,75 a 79,11,4,15,General Lagos
105,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,80 a 84,4,6,10,General Lagos
106,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,85 a 89,3,3,6,General Lagos
107,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,90 a 94,1,0,1,General Lagos
108,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,95 a 99,0,0,0,General Lagos
109,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,100 o más,0,0,0,General Lagos
110,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,Total Comunal,94897,96571,"191,468",Iquique
111,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,0 a 4,7186,6685,"13,871",Iquique
112,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,5 a 9,7200,6937,"14,137",Iquique
113,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,10 a 14,6410,6170,"12,580",Iquique
114,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,15 a 19,6597,6201,"12,798",Iquique
115,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,20 a 24,7574,7444,"15,018",Iquique
116,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,25 a 29,8896,8745,"17,641",Iquique
117,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,30 a 34,8180,8237,"16,417",Iquique
118,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,35 a 39,7393,7644,"15,037",Iquique
119,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,40 a 44,6586,6717,"13,303",Iquique
120,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,45 a 49,5696,5919,"11,615",Iquique
121,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,50 a 54,5591,5887,"11,478",Iquique
122,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,55 a 59,5052,5488,"10,540",Iquique
123,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,60 a 64,4613,4690,"9,303",Iquique
124,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,65 a 69,3089,3373,"6,462",Iquique
125,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,70 a 74,2208,2343,"4,551",Iquique
126,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,75 a 79,1236,1648,"2,884",Iquique
127,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,80 a 84,744,1155,"1,899",Iquique
128,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,85 a 89,439,803,"1,242",Iquique
129,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,90 a 94,161,377,538,Iquique
130,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,95 a 99,31,93,124,Iquique
131,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,IQUIQUE,1101,100 o más,15,15,30,Iquique
132,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,Total Comunal,54206,54169,"108,375",Alto Hospicio
133,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,0 a 4,5365,5134,"10,499",Alto Hospicio
134,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,5 a 9,5492,5145,"10,637",Alto Hospicio
135,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,10 a 14,4862,4687,"9,549",Alto Hospicio
136,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,15 a 19,4836,4767,"9,603",Alto Hospicio
137,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,20 a 24,5050,4857,"9,907",Alto Hospicio
138,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,25 a 29,5005,4999,"10,004",Alto Hospicio
139,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,30 a 34,4284,4320,"8,604",Alto Hospicio
140,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,35 a 39,3801,3994,"7,795",Alto Hospicio
141,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,40 a 44,3369,3607,"6,976",Alto Hospicio
142,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,45 a 49,3087,3366,"6,453",Alto Hospicio
143,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,50 a 54,3015,3004,"6,019",Alto Hospicio
144,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,55 a 59,2253,2240,"4,493",Alto Hospicio
145,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,60 a 64,1655,1565,"3,220",Alto Hospicio
146,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,65 a 69,1003,1000,"2,003",Alto Hospicio
147,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,70 a 74,589,685,"1,274",Alto Hospicio
148,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,75 a 79,277,376,653,Alto Hospicio
149,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,80 a 84,145,228,373,Alto Hospicio
150,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,85 a 89,76,131,207,Alto Hospicio
151,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,90 a 94,25,45,70,Alto Hospicio
152,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,95 a 99,8,13,21,Alto Hospicio
153,TARAPACÁ,Tarapacá,1,IQUIQUE,Iquique,11,ALTO HOSPICIO,1107,100 o más,9,6,15,Alto Hospicio
154,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,Total Comunal,8987,6724,"15,711",Pozo Almonte
155,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,0 a 4,617,636,"1,253",Pozo Almonte
156,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,5 a 9,641,644,"1,285",Pozo Almonte
157,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,10 a 14,526,555,"1,081",Pozo Almonte
158,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,15 a 19,848,543,"1,391",Pozo Almonte
159,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,20 a 24,764,466,"1,230",Pozo Almonte
160,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,25 a 29,800,568,"1,368",Pozo Almonte
161,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,30 a 34,819,585,"1,404",Pozo Almonte
162,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,35 a 39,749,497,"1,246",Pozo Almonte
163,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,40 a 44,705,439,"1,144",Pozo Almonte
164,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,45 a 49,544,346,890,Pozo Almonte
165,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,50 a 54,536,314,850,Pozo Almonte
166,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,55 a 59,462,327,789,Pozo Almonte
167,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,60 a 64,366,284,650,Pozo Almonte
168,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,65 a 69,220,161,381,Pozo Almonte
169,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,70 a 74,190,133,323,Pozo Almonte
170,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,75 a 79,99,100,199,Pozo Almonte
171,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,80 a 84,65,74,139,Pozo Almonte
172,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,85 a 89,26,32,58,Pozo Almonte
173,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,90 a 94,8,15,23,Pozo Almonte
174,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,95 a 99,1,4,5,Pozo Almonte
175,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,POZO ALMONTE,1401,100 o más,1,1,2,Pozo Almonte
176,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,Total Comunal,657,593,"1,250",Camiña
177,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,0 a 4,50,41,91,Camiña
178,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,5 a 9,43,58,101,Camiña
179,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,10 a 14,40,43,83,Camiña
180,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,15 a 19,46,45,91,Camiña
181,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,20 a 24,42,40,82,Camiña
182,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,25 a 29,44,41,85,Camiña
183,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,30 a 34,41,30,71,Camiña
184,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,35 a 39,25,38,63,Camiña
185,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,40 a 44,55,35,90,Camiña
186,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,45 a 49,44,39,83,Camiña
187,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,50 a 54,45,37,82,Camiña
188,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,55 a 59,40,31,71,Camiña
189,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,60 a 64,34,27,61,Camiña
190,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,65 a 69,27,25,52,Camiña
191,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,70 a 74,28,22,50,Camiña
192,TARAPACÁ,Tarapacá,1,DEL TAMARUGAL,Del Tamarugal,14,CAMIÑA,1402,75 a 79,21,21,42,Camiña
