id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales,Fecha
13,Metropolitana,3,10,0,0,0,0,2020-03-10
6,Ohiggins,0,0,0,0,0,0,2020-03-10
7,Maule,1,5,0,0,0,0,2020-03-10
16,Nuble,0,0,0,0,0,0,2020-03-10
8,Biobio,0,1,0,0,0,0,2020-03-10
9,Araucania,0,0,0,0,0,0,2020-03-10
14,LosRios,0,0,0,0,0,0,2020-03-10
10,LosLagos,0,1,0,0,0,0,2020-03-10
11,Aysen,0,0,0,0,0,0,2020-03-10
12,Magallanes,0,0,0,0,0,0,2020-03-10
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-11
1,Tarapaca,0,0,0,0,0,0,2020-03-11
2,Antofagasta,0,0,0,0,0,0,2020-03-11
3,Atacama,0,0,0,0,0,0,2020-03-11
4,Coquimbo,0,0,0,0,0,0,2020-03-11
5,Vaparaiso,0,0,0,0,0,0,2020-03-11
13,Metropolitana,4,14,0,0,0,0,2020-03-11
6,Ohiggins,0,0,0,0,0,0,2020-03-11
7,Maule,2,7,0,0,0,0,2020-03-11
16,Nuble,0,0,0,0,0,0,2020-03-11
8,Biobio,0,1,0,0,0,0,2020-03-11
9,Araucania,0,0,0,0,0,0,2020-03-11
14,LosRios,0,0,0,0,0,0,2020-03-11
10,LosLagos,0,1,0,0,0,0,2020-03-11
11,Aysen,0,0,0,0,0,0,2020-03-11
12,Magallanes,0,0,0,0,0,0,2020-03-11
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-12
1,Tarapaca,0,0,0,0,0,0,2020-03-12
2,Antofagasta,0,0,0,0,0,0,2020-03-12
3,Atacama,0,0,0,0,0,0,2020-03-12
4,Coquimbo,0,0,0,0,0,0,2020-03-12
5,Vaparaiso,0,0,0,0,0,0,2020-03-12
13,Metropolitana,9,23,0,0,0,0,2020-03-12
6,Ohiggins,0,0,0,0,0,0,2020-03-12
7,Maule,0,7,0,0,0,0,2020-03-12
16,Nuble,1,1,0,0,0,0,2020-03-12
8,Biobio,0,1,0,0,0,0,2020-03-12
9,Araucania,0,0,0,0,0,0,2020-03-12
14,LosRios,0,0,0,0,0,0,2020-03-12
10,LosLagos,0,1,0,0,0,0,2020-03-12
11,Aysen,0,0,0,0,0,0,2020-03-12
12,Magallanes,0,0,0,0,0,0,2020-03-12
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-13
1,Tarapaca,0,0,0,0,0,0,2020-03-13
2,Antofagasta,0,0,0,0,0,0,2020-03-13
3,Atacama,0,0,0,0,0,0,2020-03-13
4,Coquimbo,0,0,0,0,0,0,2020-03-13
5,Vaparaiso,0,0,0,0,0,0,2020-03-13
13,Metropolitana,6,29,0,0,0,0,2020-03-13
6,Ohiggins,0,0,0,0,0,0,2020-03-13
7,Maule,1,8,0,0,0,0,2020-03-13
16,Nuble,1,2,0,0,0,0,2020-03-13
8,Biobio,2,3,0,0,0,0,2020-03-13
9,Araucania,0,0,0,0,0,0,2020-03-13
